timestamp,detection_time,server_timestamp,protocol,detection_method,ssid,device_name,mac_address,manufacturer,alias,rssi,last_rssi,signal_strength,channel,last_channel,detection_count,latitude,longitude,altitude,gps_timestamp,satellites,fix_quality,gps_time_diff,gps_match_quality,timestamp_source
2026-01-06T10:18:06.608274,2026-01-06 10:18:06,2026-01-06T10:18:06.608274,wifi,probe_request_unknown,MA-WLAN,,a,Unknown Manufacturer,,-91,,WEAK,11,,1,,,,,,,,,system
2026-01-06T10:18:14.545133,2026-01-06 10:18:14,2026-01-06T10:18:14.545133,wifi,beacon_unknown,ZKB Gast-WLAN,,c88:c7:c3:2a:61,Unknown Manufacturer,,-93,,WEAK,11,,1,,,,,,,,,system
2026-01-06T10:18:17.727628,2026-01-06 10:18:17,2026-01-06T10:18:17.727628,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-75,,WE7:c3:37:03,,,1,,,,,,,,,system
2026-01-06T10:18:22.521065,2026-01-06 10:18:22,2026-01-06T10:18:22.521065,bluetooth_le,unknown,,,64:0c:2f:b9:a0:89,Unknown Manufacturer,,-95,-93,WEAK,,,17,,,,,,,,,system
2026-01-06T10:18:35.124349,2026-01-06 10:18:35,2026-01-06T10:18:35.124349,bluetooth_le,unknown,,,f9:4c:56:25:68:f2,Unknown Manufacturer,,-87,-87,WEAK,,,15,,,,,,,,,system
2026-01-06T10:18:47.295359,2026-01-06 10:18:47,2026-01-06T10:18:47.295359,bluetooth_le,unknown,,,70:26:fc:27:c9:a5,Unknown Manufacturer,,-94,-90,WEAK,,,2,,,,,,,,,system
2026-01-06T10:19:11.202060,2026-01-06 10:19:11,2026-01-06T10:19:11.202060,bluetooth_le,unknown,,,c2:29:a6:51:30:60,Unknown Manufacturer,,-94,-93,WEAK,,,4,,,,,,,,,system
2026-01-06T10:19:18.575920,2026-01-06 10:19:18,2026-01-06T10:19:18.575920,wifi,probe_request_unknown,,,06:96:ef:38:e1:b6,Unknown Manufacturer,,-92,,WEAK,11,,1,,,,,,,,,system
2026-01-06T10:19:25.607052,2026-01-06 10:19:25,2026-01-06T10:19:25.607052,wifi,probe_request_unknown,,,ae:01:30:43:73:c2,Unknown Manufacturer,,-87,-87,WEAK,10,10,2,,,,,,,,,system
2026-01-06T10:19:25.932015,2026-01-06 10:19:25,2026-01-06T10:19:25.932015,wifi,probe_request_unknown,,,7e:5e:ce:f7:f8:38,Unknown Manufacturer,,-89,,WEAK,11,,1,,,,,,,,,system
2026-01-06T10:19:29.612853,2026-01-06 10:19:29,2026-01-06T10:19:29.612853,bluetooth_le,unknown,,,d6:8f:21:e7:ce:8f,Unknown Manufacturer,,-91,-92,WEAK,,,2,,,,,,,,,system
2026-01-06T10:19:36.306156,2026-01-06 10:19:36,2026-01-06T10:19:36.306156,bluetooth_le,unknown,,,7c:fe:df:23:1a:aa,Unknown Manufacturer,,-96,-95,WEAK,,,2,,,,,,,,,system
2026-01-06T10:19:48.642483,2026-01-06 10:19:48,2026-01-06T10:19:48.642483,wifi,probe_request_unknown,,,82:62:d1:61:00:3a,Unknown Manufacturer,,-92,-91,WEAK,8,8,2,,,,,,,,,system
2026-01-06T10:19:51.777341,2026-01-06 10:19:51,2026-01-06T10:19:51.777341,wifi,probe_request_unknown,Mobile-WLAN,,c8:6e:08:a1:9d:39,Intel Corporate,,-88,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:20:08.628858,2026-01-06 10:20:08,2026-01-06T10:20:08.628858,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-75,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:20:30.516119,2026-01-06 10:20:30,2026-01-06T10:20:30.516119,bluetooth_le,unknown,,,28:de:65:1b:41:fe,Hewlett Packard Enterprise,,-92,-92,WEAK,,,2,,,,,,,,,system
2026-01-06T10:20:31.759662,2026-01-06 10:20:31,2026-01-06T10:20:31.759662,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-74,,,,,1,,,,,,,,,system
2026-01-06T10:20:48.195039,2026-01-06 10:20:48,2026-01-06T10:20:48.195039,wifi,probe_request_unknown,Mobile-WLAN,,ec:4c:8c:e8:a0:85,Intel Corporate,,-86,-88,WEAK,1,4,2,,,,,,,,,system
2026-01-06T10:20:55.331707,2026-01-06 10:20:55,2026-01-06T10:20:55.331707,bluetooth_le,unknown,,,fe:55:56:cf:ed:e0,Unknown Manufacturer,,-93,-90,WEAK,,,3,,,,,,,,,system
2026-01-06T10:21:01.427126,2026-01-06 10:21:01,2026-01-06T10:21:01.427126,wifi,probe_request_unknown,,,5a:3d:68:04:a2:c5,Unknown Manufacturer,,-92,-92,WEAK,11,11,2,,,,,,,,,system
2026-01-06T10:21:03.483868,2026-01-06 10:21:03,2026-01-06T10:21:03.483868,wifi,probe_request_unknown,,,aa:4b:b3:df:f0:25,Unknown Manufacturer,,-72,-74,WEAK,1,1,2,,,,,,,,,system
2026-01-06T10:21:03.819914,2026-01-06 10:21:03,2026-01-06T10:21:03.819914,wifi,probe_request_unknown,,,86:ee:17:0b:ed:de,Unknown Manufacturer,,-91,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:21:35.169893,2026-01-06 10:21:35,2026-01-06T10:21:35.169893,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-74,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:21:42.660174,2026-01-06 10:21:42,2026-01-06T10:21:42.660174,wifi,beacon_unknown,ZKB Gast-WLAN,,,Unknown,,-73,,,,,1,,,,,,,,,system
2026-01-06T10:21:44.196948,2026-01-06 10:21:44,2026-01-06T10:21:44.196948,bluetooth_le,unknown,,,7c:07:35:1f:a8:28,Unknown Manufacturer,,-95,,WEAK,,,1,,,,,,,,,system
2026-01-06T10:21:57.612547,2026-01-06 10:21:57,2026-01-06T10:21:57.612547,wifi,probe_request_unknown,,,f2:80:2e:74:ac:f6,Unknown Manufacturer,,-88,,WEAK,12,,1,,,,,,,,,system
2026-01-06T10:21:58.589331,2026-01-06 10:21:58,2026-01-06T10:21:58.589331,wifi,beacon_unknown,ZKB Gast-WLAN,,cc:88:c7:c3:37:017,Hewlett Packard Enterprise,,-73,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:22:30.184286,2026-01-06 10:22:30,2026-01-06T10:22:30.184286,wifi,beacon_unknown,ZKB Gast-WLAN,,cc3:37:01,Unknown Manufacturer,,-76,,WEAK,1,,1,,,,,,,,,system
2026-01-06T10:22:30.723200,2026-01-06 10:22:30,2026-01-06T10:22:30.723200,wifi,beacon_unknown,Tech-WLAN,,,Unknown,,-76,,,,,1,,,,,,,,,system
2026-01-06T10:22:35.595524,2026-01-06 10:22:35,2026-01-06T10:22:35.595524,wifi,probe_request_unknown,,,46:d7:03:32:f2:36,Unknown Manufacturer,,-92,-95,WEAK,10,1,2,,,,,,,,,system
2026-01-06T10:22:55.409803,2026-01-06 10:22:55,2026-01-06T10:22:55.409803,wifi,probe_request_unknown,,,90:09:df:54:70:86,Intel Corporate,,-94,,WEAK,4,,1,,,,,,,,,system
